"entity","cumulated_capture_fisheries_production_metric_tons","cumulated_aquaculture_farmed_fish_production_metric_tons","total_cumulated_production"
"Eswatini","3098","3922","7020"
"Bhutan","5248","3052","8300"
"Lesotho","1095","9202","10297"
"Nauru","15940","2","15942"
"Northern Mariana Islands","16817","642","17459"
"Aruba","21205","4","21209"
"Kyrgyzstan","3384","19538","22922"
"Montenegro","4406","19632","24038"
"Guam","19406","11484","30890"
"British Virgin Islands","38557","4","38561"
"Dominica","46997","520","47517"
"Jordan","19907","28438","48345"
"United States Virgin Islands","52031","276","52307"
"North Macedonia","5147","49390","54537"
"Tajikistan","13698","45422","59120"
"Serbia","45296","14774","60070"
"Palestine","60239","6470","66709"
"Slovenia","29533","38202","67735"
"Slovakia","44074","36116","80190"
"Botswana","82875","130","83005"
"Saint Lucia","85063","1562","86625"
"American Samoa","85969","700","86669"
"Timor","67257","34580","101837"
"Grenada","107260","86","107346"
"Antigua and Barbuda","108199","156","108355"
"Eritrea","111711","276","111987"
"Tonga","117443","1510","118953"
"Tuvalu","132190","18","132208"
"Bosnia and Herzegovina","7413","132146","139559"
"Palau","139441","176","139617"
"Channel Islands","145026","14606","159632"
"Puerto Rico","152970","8798","161768"
"Afghanistan","52850","113100","165950"
"Turks and Caicos Islands","181598","1218","182816"
"Brunei","172852","14580","187432"
"Barbados","193308","20","193328"
"Malta","95961","101246","197207"
"Lebanon","154025","43910","197935"
"New Caledonia","131927","81398","213325"
"Equatorial Guinea","237658","292","237950"
"Switzerland","159492","82682","242174"
"South Sudan","248000","280","248280"
"Guinea-Bissau","259891","170","260061"
"Bahamas","262887","1402","264289"
"Samoa","297399","64","297463"
"Austria","68665","241744","310409"
"Moldova","7264","322376","329640"
"Kuwait","330085","11826","341911"
"Albania","202890","148758","351648"
"Armenia","48313","317858","366171"
"Qatar","365478","838","366316"
"French Polynesia","374854","3706","378560"
"Rwanda","351444","31702","383146"
"Azerbaijan","389052","43280","432332"
"Haiti","421691","18986","440677"
"Saint Kitts and Nevis","461532","52","461584"
"Croatia","154316","308616","462932"
"Bahrain","497067","96","497163"
"Trinidad and Tobago","516891","260","517151"
"Burkina Faso","522235","10334","532569"
"Solomon Islands","484066","84576","568642"
"Belarus","34074","564896","598970"
"Turkmenistan","561558","39250","600808"
"Mauritius","598114","7982","606096"
"Syria","235723","375322","611045"
"Liberia","618828","3872","622700"
"Dominican Republic","626108","86424","712532"
"Cyprus","677483","53878","731361"
"Singapore","593767","188518","782285"
"Ethiopia","836025","2038","838063"
"Burundi","832467","16030","848497"
"Paraguay","731749","154138","885887"
"Uzbekistan","248281","665686","913967"
"Niger","920830","5448","926278"
"Togo","928201","3982","932183"
"Central African Republic","920142","12582","932724"
"Saint Vincent and the Grenadines","959543","4","959547"
"Jamaica","778165","215408","993573"
"Micronesia (country)","1023531","178","1023709"
"Suriname","1019284","5582","1024866"
"Czechia","105444","991788","1097232"
"Marshall Islands","1116653","20","1116673"
"Guatemala","589141","547756","1136897"
"Libya","1206902","5088","1211990"
"Georgia","1175833","41476","1217309"
"Bolivia","1215327","50706","1266033"
"Fiji","1220021","134784","1354805"
"Gambia","1385830","1216","1387046"
"Tunisia","1131826","280234","1412060"
"El Salvador","1306331","107250","1413581"
"Kazakhstan","1357023","132188","1489211"
"Gabon","1492638","5988","1498626"
"Nicaragua","1059771","554756","1614527"
"Costa Rica","941487","757808","1699295"
"Vanuatu","1708646","488","1709134"
"Sudan","1558540","156112","1714652"
"Seychelles","1868612","15228","1883840"
"Nepal","554065","1383024","1937089"
"Papua New Guinea","2115227","66398","2181625"
"Pacific island small states","1986908","243462","2230370"
"Benin","2228734","18366","2247100"
"Israel","554554","1735230","2289784"
"Iraq","1535798","832714","2368512"
"Algeria","2370742","21020","2391762"
"Kiribati","2110620","296130","2406750"
"Hungary","546950","1863000","2409950"
"Congo","2412189","8372","2420561"
"Belgium","2400953","47574","2448527"
"Honduras","766194","1790890","2557084"
"Guyana","2813571","15468","2829039"
"Zimbabwe","2764455","220294","2984749"
"Saudi Arabia","2490698","832912","3323610"
"Bulgaria","2739099","643520","3382619"
"Belize","3201714","190938","3392652"
"Guinea","4023367","3310","4026677"
"Estonia","4127936","22138","4150074"
"Malawi","4107468","81874","4189342"
"Cote d'Ivoire","4140631","99804","4240435"
"Chad","4299865","2836","4302701"
"United Arab Emirates","4341130","32442","4373572"
"Mozambique","4482416","49162","4531578"
"Zambia","4297435","478594","4776029"
"Cuba","3339408","1476828","4816236"
"Laos","1568758","3268458","4837216"
"Uruguay","4847363","1364","4848727"
"Lithuania","4799021","111650","4910671"
"Sierra Leone","5084260","2890","5087150"
"Mali","5155361","61150","5216511"
"Kenya","4871773","409364","5281137"
"Latvia","5494087","45274","5539361"
"Caribbean Small States","5433186","210330","5643516"
"Greece","2301621","3392670","5694291"
"Yemen","5882930","3360","5886290"
"Romania","3563586","2372344","5935930"
"Madagascar","5471654","511254","5982908"
"Cameroon","6244777","38872","6283649"
"Oman","8277260","3984","8281244"
"Australia","6809245","1614370","8423615"
"Finland","8022011","1029430","9051441"
"Panama","9047609","276712","9324321"
"Hong Kong","9071997","638596","9710593"
"Democratic Republic of Congo","9642699","130736","9773435"
"Sri Lanka","10636710","156558","10793268"
"Morocco","11305737","72602","11378339"
"Tanzania","11315866","131072","11446938"
"Ukraine","10041997","1702138","11744135"
"Ireland","12176727","2024348","14201075"
"Angola","14599378","14126","14613504"
"Uganda","13727632","1578504","15306136"
"Namibia","16092187","2524","16094711"
"Sweden","15604833","620020","16224853"
"Cambodia","13674875","3276832","16951707"
"Venezuela","17129215","586070","17715285"
"Senegal","17735979","10314","17746293"
"New Zealand","12888806","4863510","17752316"
"Ghana","17107621","823476","17931097"
"Italy","7004016","11041656","18045672"
"Portugal","19070126","379016","19449142"
"Mexico","17134829","2844310","19979139"
"Arab World","12491696","9038886","21530582"
"Middle East & North Africa (IDA & IBRD)","8720160","13637702","22357862"
"Middle East & North Africa (excluding high income)","8720160","13637830","22357990"
"Faeroe Islands","20333709","2650284","22983993"
"Colombia","19672890","3442508","23115398"
"IDA blend","21428783","2144760","23573543"
"Iran","14637885","9183838","23821723"
"Middle East & North Africa","12209492","12325452","24534944"
"Turkey","18461397","6538126","24999523"
"Poland","22661430","2423272","25084702"
"Small states","24614471","558826","25173297"
"Pakistan","21965728","4862842","26828570"
"Nigeria","21005833","6988534","27994367"
"Netherlands","21582227","9448220","31030447"
"Germany","27392266","5295962","32688228"
"Ecuador","24058418","10281002","34339420"
"Central Europe and the Baltics","27089566","7767310","34856876"
"France","14409925","21005242","35415167"
"Argentina","36464957","59690","36524647"
"Europe & Central Asia (IDA & IBRD)","28812682","11473374","40286056"
"Spain","27291003","17312142","44603145"
"Egypt","10454852","34592686","45047538"
"Fragile and conflict affected situations","42867682","4560956","47428638"
"Malaysia","41999413","8643556","50642969"
"Europe & Central Asia (excluding high income)","45746989","9743866","55490855"
"Brazil","40289599","16247104","56536703"
"South Africa","56544324","223486","56767810"
"United Kingdom","52091620","6301868","58393488"
"Myanmar","56249591","17654268","73903859"
"Iceland","78696245","284074","78980319"
"North Korea","25481969","54480122","79962091"
"Denmark","78257200","2840846","81098046"
"Heavily indebted poor countries (HIPC)","81413922","1145014","82558936"
"Other small states","83216963","267514","83484477"
"Canada","76878159","8016632","84894791"
"Least developed countries: UN classification","68285146","23111620","91396766"
"IDA only","69363350","23837646","93200996"
"Pre-demographic dividend","92651983","3328984","95980967"
"Africa Eastern and Southern","97049174","758552","97807726"
"Africa Western and Central","98582112","2967394","101549506"
"IDA total","84553007","23082026","107635033"
"Low income","70326892","39925730","110252622"
"Bangladesh","53463369","64367846","117831215"
"Euro area","58820408","62489420","121309828"
"Sub-Saharan Africa (excluding high income)","147316759","1865318","149182077"
"Sub-Saharan Africa (IDA & IBRD)","148142679","1876280","150018959"
"Sub-Saharan Africa","148142679","1876280","150018959"
"Russia","142477937","7573450","150051387"
"Vietnam","73251768","84637304","157889072"
"European Union","89385940","71990602","161376542"
"Thailand","114586853","53161750","167748603"
"Philippines","76822584","96335402","173157986"
"Norway","153590340","23383860","176974200"
"South Korea","98874052","93269072","192143124"
"Latin America & Caribbean (excluding high income)","213510106","14707302","228217408"
"Chile","197275507","33144640","230420147"
"Latin America & Caribbean","214838700","21270538","236109238"
"Europe & Central Asia","163095311","85872332","248967643"
"United States","225240574","38223978","263464552"
"Latin America & Caribbean (IDA & IBRD)","259162089","20465780","279627869"
"Lower middle income","126396731","165825448","292222179"
"South Asia","197892652","121563676","319456328"
"South Asia (IDA & IBRD)","197892652","121563676","319456328"
"North America","288017714","46240610","334258324"
"India","164160582","197398056","361558638"
"Peru","372596712","869544","373466256"
"Late-demographic dividend","158605657","219442530","378048187"
"Japan","337645851","50557452","388203303"
"Indonesia","166945504","261426570","428372074"
"Post-demographic dividend","334581301","128547128","463128429"
"High income","381046850","110783784","491830634"
"OECD members","372361023","132675876","505036899"
"Early-demographic dividend","328678308","185567862","514246170"
"East Asia & Pacific","410429901","228406628","638836529"
"East Asia & Pacific (IDA & IBRD)","180901676","724631838","905533514"
"East Asia & Pacific (excluding high income)","193571766","827925558","1021497324"
"Upper middle income","326272148","726063606","1052335754"
"IDA & IBRD total","420000994","649511682","1069512676"
"Middle income","380648331","722434008","1103082339"
"IBRD only","368033302","774747664","1142780966"
"World","929614985","218309458","1147924443"
"Low & middle income","400658881","753614778","1154273659"
"China","505089546","2321245442","2826334988"
